year,median sales price(usd),average fedral interest rate ,inflation rate ,total bank credit
1991,"$120,000.00",6%,4.2,2786.3
1992,"$121,500.00",4%,3,2847.5
1990,"$122,900.00",8%,5.4,2724.1
1993,"$126,500.00",3%,3,2960.8
1994,"$130,000.00",4%,2.6,3179.2
1995,"$133,900.00",6%,2.8,3400.5
1996,"$140,000.00",5%,2.9,3574.8
1997,"$146,000.00",5%,2.3,3857.2
1998,"$152,500.00",5%,1.6,4294.3
1999,"$161,000.00",5%,2.2,4497.1
2000,"$169,000.00",6%,3.4,4900.5
2001,"$175,200.00",4%,2.8,5299.6
2002,"$187,600.00",2%,1.6,5533.2
2003,"$195,000.00",1%,2.3,5846.8
2009,"$216,700.00",2%,-0.4,8823.5
2004,"$221,000.00",1%,2.7,6347.8
2010,"$221,800.00",2%,1.6,8930.7
2011,"$227,200.00",1%,3.2,9091.2
2008,"$232,100.00",2%,3.8,8829.5
2005,"$240,900.00",3%,3.4,7019.3
2012,"$245,200.00",1%,2.1,9432.8
2006,"$246,500.00",5%,3.2,7627.1
2007,"$247,900.00",5%,2.9,8146.5
2013,"$268,900.00",1%,1.5,9820.5
2014,"$288,500.00",0%,1.6,10292.3
2015,"$294,200.00",1%,0.1,10875.6
2016,"$307,800.00",4%,1.3,11460.8
2019,"$321,500.00",2%,1.8,13289.6
2017,"$323,100.00",1%,2.1,12151.3
2018,"$326,400.00",2%,2.4,12760.4
